attendance,study_hours,previous_marks,assignment_score,internal_marks,sleep_hours,internet_hours,stress_level,parent_support,tuition,final_marks,grade,risk_level
78,6.1,74,50,36,6.7,8.0,1,No,No,79.79,B,Low
91,5.5,98,74,16,7.8,9.2,3,Yes,Yes,87.22,B,Low
68,2.3,57,91,38,7.5,9.0,4,No,No,63.63,C,Low
54,3.9,63,60,40,9.2,9.2,2,No,Yes,70.63,C,Low
82,5.9,85,71,45,7.1,9.1,9,Yes,No,57.27,D,Medium
47,5.0,65,41,28,8.5,5.3,8,Yes,Yes,44.29,D,Medium
100,9.9,84,94,15,4.7,2.2,3,Yes,Yes,100.0,A,Low
60,1.4,54,32,34,7.7,8.0,7,Yes,No,20.95,F,High
78,7.0,89,38,40,9.3,2.1,4,No,Yes,100.0,A,Low
97,4.0,36,80,18,5.7,2.7,5,No,Yes,60.67,C,Low
58,4.3,59,45,29,8.5,2.3,4,No,Yes,64.29,C,Low
62,7.2,47,32,19,8.1,5.1,9,No,Yes,27.53,F,High
50,6.9,92,53,46,3.4,3.2,7,Yes,Yes,88.11,B,Low
50,9.9,98,42,36,7.1,1.5,4,Yes,No,100.0,A,Low
63,1.3,93,31,22,3.9,4.5,8,No,No,29.1,F,High
92,1.0,94,100,50,9.8,8.7,2,No,Yes,76.21,B,Low
75,7.2,96,50,11,8.7,5.7,7,Yes,Yes,75.1,B,Low
79,5.8,50,48,30,3.8,8.8,1,Yes,Yes,53.23,D,Medium
63,2.7,49,76,42,3.9,2.0,8,No,No,58.13,D,Medium
42,0.8,89,51,33,7.2,1.7,6,Yes,Yes,72.2,C,Low
61,0.9,69,62,43,5.4,5.8,5,Yes,Yes,43.07,D,Medium
92,8.9,89,61,18,3.2,4.6,9,Yes,Yes,71.67,C,Low
41,1.9,48,93,11,6.8,6.6,9,No,Yes,25.16,F,High
63,3.2,83,68,39,5.7,7.9,3,No,No,62.29,C,Low
83,2.3,41,71,31,3.7,7.5,9,No,Yes,25.02,F,High
69,3.5,64,38,20,8.6,9.4,9,Yes,Yes,25.36,F,High
77,0.7,83,54,26,9.4,4.0,2,Yes,Yes,67.07,C,Low
41,5.2,50,31,45,8.3,2.1,5,Yes,No,77.0,B,Low
99,0.7,85,48,22,8.8,5.5,2,No,No,61.96,C,Low
60,8.0,76,49,16,4.5,1.1,1,Yes,Yes,95.36,A,Low
72,2.3,51,99,25,4.8,2.9,7,Yes,Yes,68.56,C,Low
51,5.4,97,46,42,4.5,2.1,4,No,No,72.87,C,Low
97,8.8,79,97,10,8.4,4.0,5,Yes,Yes,91.93,A,Low
61,6.5,41,32,20,9.6,1.1,4,No,No,63.02,C,Low
100,5.3,61,80,15,8.0,0.3,6,Yes,Yes,58.69,D,Medium
83,3.2,44,55,29,9.2,6.6,2,Yes,Yes,66.94,C,Low
64,3.3,68,85,44,7.5,6.1,8,Yes,No,64.36,C,Low
88,6.7,70,93,46,5.7,7.1,4,No,No,75.91,B,Low
66,9.9,59,37,50,6.0,6.6,8,No,No,81.07,B,Low
98,6.6,40,66,35,3.5,1.1,3,Yes,No,90.76,A,Low
81,5.6,58,56,21,3.2,2.9,5,Yes,Yes,70.0,C,Low
67,7.3,52,74,39,7.9,1.3,3,No,No,77.48,B,Low
99,4.7,40,33,37,6.1,8.4,7,Yes,No,39.32,F,High
55,0.6,63,66,36,6.9,7.5,3,Yes,Yes,56.88,D,Medium
54,5.6,59,100,28,6.9,2.0,8,Yes,Yes,72.05,C,Low
86,9.6,89,62,14,4.9,3.4,9,No,Yes,74.3,C,Low
90,1.8,80,60,14,6.3,9.7,2,Yes,Yes,42.49,D,Medium
